event,regime,surprise,n,mean_bps,mean_signed,hit_rate,sharpe
CPI_MOM,Goldilocks,BEAT,38,4.6,4.6,57.9,1.24
CPI_MOM,Goldilocks,MISS,40,-0.4,0.4,50.0,0.15
CPI_MOM,Reflation,BEAT,16,4.0,4.0,50.0,1.34
CPI_MOM,Reflation,MISS,14,6.4,-6.4,28.6,-1.8
CPI_MOM,Stagfl. Risk,BEAT,4,14.2,14.2,75.0,2.64
CPI_MOM,Deflation Risk,BEAT,12,2.2,2.2,50.0,0.57
CPI_MOM,Deflation Risk,MISS,17,-2.6,2.6,47.1,0.63
PCE_MOM,Goldilocks,BEAT,48,2.4,2.4,58.3,0.8
PCE_MOM,Goldilocks,MISS,36,1.7,-1.7,41.7,-0.51
PCE_MOM,Reflation,BEAT,13,0.0,0.0,53.8,0.0
PCE_MOM,Reflation,MISS,18,5.0,-5.0,38.9,-1.18
PCE_MOM,Stagfl. Risk,BEAT,5,-1.2,-1.2,40.0,-0.45
PCE_MOM,Deflation Risk,BEAT,13,2.0,2.0,53.8,0.39
PCE_MOM,Deflation Risk,MISS,16,-1.9,1.9,43.8,0.45
NFP,Goldilocks,BEAT,39,2.0,2.0,56.4,0.66
NFP,Goldilocks,MISS,31,4.7,-4.7,25.8,-1.6
NFP,Reflation,BEAT,8,1.1,1.1,62.5,0.22
NFP,Reflation,MISS,21,5.3,-5.3,38.1,-1.23
NFP,Stagfl. Risk,MISS,7,3.7,-3.7,28.6,-0.88
NFP,Deflation Risk,BEAT,12,8.7,8.7,75.0,2.22
NFP,Deflation Risk,MISS,23,-2.4,2.4,47.8,0.58
PHILLY_FED,Goldilocks,BEAT,44,2.2,2.2,47.7,0.68
PHILLY_FED,Goldilocks,MISS,42,0.4,-0.4,42.9,-0.13
PHILLY_FED,Reflation,BEAT,13,-3.5,-3.5,38.5,-0.99
PHILLY_FED,Reflation,MISS,22,6.2,-6.2,27.3,-1.67
PHILLY_FED,Stagfl. Risk,BEAT,7,3.7,3.7,42.9,0.67
PHILLY_FED,Deflation Risk,BEAT,11,8.5,8.5,72.7,1.91
PHILLY_FED,Deflation Risk,MISS,27,-0.7,0.7,37.0,0.14
GDP_QOQ,Goldilocks,BEAT,15,4.3,4.3,66.7,2.04
GDP_QOQ,Goldilocks,MISS,9,2.9,-2.9,33.3,-1.25
GDP_QOQ,Reflation,BEAT,3,12.3,12.3,100.0,6.42
GDP_QOQ,Stagfl. Risk,MISS,3,13.3,-13.3,0.0,-3.08
GDP_QOQ,Deflation Risk,MISS,9,-2.7,2.7,66.7,0.67
